name,load_module_offset,file_offset
GETINTVEC,0x0223A0,0x0271A0
SWAPVECTORS,0x0223CB,0x0271CB
EXEC,0x022403,0x027203
GETENV,0x02249C,0x02729C
UNIT_INIT_1,0x022510,0x027310
WINDOW,0x022692,0x027492
CLRSCR,0x0226D2,0x0274D2
DELLINE,0x022705,0x027505
GOTOXY,0x022725,0x027525
TEXTCOLOR,0x022769,0x027569
TEXTBACKGROUND,0x022783,0x027583
DELAY,0x0227AE,0x0275AE
SOUND,0x0227D6,0x0275D6
READKEY,0x02281C,0x02761C
ASSIGNCRT,0x02283E,0x02763E
INITIALISE,0x026920,0x02B720
EXIT,0x0269F8,0x02B7F8
UNKNOWN0CC,0x026B3C,0x02B93C
BlockMove,0x026B7D,0x02B97D
UNKNOWN028,0x026B95,0x02B995
UNKNOWN014,0x026B99,0x02B999
UNKNOWN018,0x026BB4,0x02B9B4
UNKNOWN094,0x026C91,0x02BA91
UNKNOWN098,0x026CAC,0x02BAAC
UNKNOWN09C,0x026CF0,0x02BAF0
UNKNOWN02C,0x026F4A,0x02BD4A
UNKNOWN030,0x026F64,0x02BD64
UNKNOWN038,0x026F96,0x02BD96
UNKNOWN03C,0x026FD7,0x02BDD7
UNKNOWN044,0x02704F,0x02BE4F
UNKNOWN04C,0x02708C,0x02BE8C
UNKNOWN050,0x0270A7,0x02BEA7
UNKNOWN054,0x0270FB,0x02BEFB
UNKNOWN058,0x027151,0x02BF51
UNKNOWN0A0,0x02717B,0x02BF7B
UNKNOWN0A4,0x02718A,0x02BF8A
UNKNOWN0A8,0x0271AB,0x02BFAB
UNKNOWN05C,0x0271DF,0x02BFDF
UNKNOWN060,0x0271FF,0x02BFFF
UNKNOWN0B4,0x027220,0x02C020
UNKNOWN0B0,0x02723C,0x02C03C
UNKNOWN0B4,0x02725A,0x02C05A
UNKNOWN0B8,0x027276,0x02C076
UNKNOWN0BC,0x02728D,0x02C08D
UNKNOWN1EC,0x027627,0x02C427
UNKNOWN1F4,0x02768C,0x02C48C
UNKNOWN1FC,0x0276E9,0x02C4E9
UNKNOWN1F8,0x0276FC,0x02C4FC
UNKNOWN184,0x027F5D,0x02CD5D
UNKNOWN1E8,0x027FA8,0x02CDA8
UNKNOWN1E4,0x027FD9,0x02CDD9
UNKNOWN1E8,0x02803C,0x02CE3C
UNKNOWN114,0x02806F,0x02CE6F
UNKNOWN1AC,0x0280B4,0x02CEB4
UNKNOWN1A4,0x0280E9,0x02CEE9
UNKNOWN120,0x028138,0x02CF38
UNKNOWN104,0x028392,0x02D192
CRLF,0x0283BB,0x02D1BB
UNKNOWN100,0x028400,0x02D200
UNKNOWN0E4,0x02841E,0x02D21E
ReadEOL,0x02844B,0x02D24B
WriteString,0x028483,0x02D283
Read,0x0284C1,0x02D2C1
WriteInt,0x028519,0x02D319
UNKNOWN1E0,0x028562,0x02D362
WriteFloat,0x0285BC,0x02D3BC
UNKNOWN124,0x02861D,0x02D41D
UNKNOWN12C,0x028654,0x02D454
UNKNOWN16C,0x0286B0,0x02D4B0
UNKNOWN130,0x0286CC,0x02D4CC
UNKNOWN0F0,0x028707,0x02D507
UNKNOWN150,0x02873D,0x02D53D
UNKNOWN154,0x02879E,0x02D59E
UNKNOWN158,0x0287CE,0x02D5CE
UNKNOWN15C,0x0287E5,0x02D5E5
UNKNOWN180,0x02885A,0x02D65A
UNKNOWN170,0x02887D,0x02D67D
UNKNOWN194,0x028919,0x02D719
UNKNOWN198,0x02896A,0x02D76A
UNKNOWN168,0x0289FF,0x02D7FF
